date,return,realized variance
2001-06-26,0.369091978,8.35E-02
2001-06-27,-0.500045689,2.01E-01
2001-06-28,0.262529984,9.17E-02
2001-06-29,0.664789509,4.1E-01
2001-07-02,-1.315827825,6.43E-01
2001-07-03,0.392742166,1.48E-01
2001-07-04,-0.579591769,3.85E-01
2001-07-05,-1.234085553,5.69E-01
2001-07-06,-0.667444303,3.74E-01
2001-07-09,0.377634753,1.41E-01
2001-07-10,0.44276039,1.98E-01
2001-07-11,0.745495039,1.8E-01
2001-07-12,0.336306355,2.81E-01
2001-07-13,-0.023936329,2.02E-01
2001-07-16,0.718451718,1.9E-01
2001-07-17,-0.432262296,1.92E-01
2001-07-18,-0.098591347,1.88E-01
2001-07-19,-0.020962163,1.21E-01
2001-07-20,-0.350977547,6.47E-02
2001-07-23,-0.316022595,7.37E-02
2001-07-24,-0.472170132,1.26E-01
2001-07-25,-0.793146527,2.51E-01
2001-07-26,-0.981833344,1.74E-01
2001-07-27,0.339642776,3.63E-01
2001-07-30,0.58759456,4.56E-01
2001-07-31,0.15308781,1.54E-01
2001-08-01,1.290967612,1.84E-01
2001-08-02,0.819123352,3.68E-01
2001-08-03,0.128456007,4.02E-01
2001-08-06,0.017920612,5.01E-01
2001-08-07,-0.035854074,1.2E-01
2001-08-08,0.023916293,2.35E-01
2001-08-09,0.564509198,4.11E-01
2001-08-10,-0.301470268,7E-02
2001-08-13,-0.500593063,1.41E-01
2001-08-14,-0.382271517,1.22E-01
2001-08-15,-0.377387421,1.86E-01
2001-08-16,-0.927016045,4.16E-01
2001-08-17,0.109916963,1.09E-01
2001-08-20,-1.007781903,6.77E-01
2001-08-21,0.75413978,2.16E-01
2001-08-22,-0.168921553,4.85E-01
2001-08-24,0.723126311,1.36E-01
2001-08-27,0.582402229,2.85E-01
2001-08-28,0.012089706,2.62E-01
2001-08-29,-0.491163101,3.08E-01
2001-08-30,-0.610427973,1.75E-01
2001-08-31,-1.335347429,5.12E-01
2001-09-03,0.224138562,2E-01
2001-09-04,0.326163215,1.37E-01
2001-09-05,0.089845874,3.18E-01
2001-09-06,-0.552968169,3.06E-01
2001-09-07,-0.897542507,6.62E-01
2001-09-11,0.122447073,2E-01
2001-09-12,-3.410664542,4.573318475
2001-09-13,0.362621067,1.826670162
2001-09-14,-1.084278905,3.45E-01
2001-09-17,-2.829654735,1.549155712
2001-09-18,1.429328488,2.758706799
2001-09-19,0.709774163,6.22E-01
2001-09-20,-1.497862767,1.004189679
2001-09-21,-0.85789927,3.117434841
2001-09-24,0.132612129,7.39E-01
2001-09-25,0.966793746,1.673040437
2001-09-26,0.841807661,3E-01
2001-09-27,0.258626701,3.12E-01
2001-09-28,1.665300578,8.46E-01
2001-10-01,1.230509216,4.67E-01
2001-10-02,1.137586645,5.8E-01
2001-10-03,-0.717550372,4.3E-01
2001-10-04,-0.10763386,4.48E-01
2001-10-05,1.431139854,3.4E-01
2001-10-08,0.113856326,2E-01
2001-10-09,0.334301929,2.45E-01
2001-10-10,-0.418892983,3.17E-01
2001-10-11,1.645213458,1.226075488
2001-10-12,0.428892053,1.049067716
2001-10-15,-0.57545424,3.28E-01
2001-10-16,0.311635702,2.07E-01
2001-10-17,0.668369108,3.42E-01
2001-10-18,-1.225723462,6.36E-01
2001-10-19,-0.695125727,2.05E-01
2001-10-22,0.269845003,1.38E-01
2001-10-23,0.915988213,4E-01
2001-10-24,1.001287602,3.29E-01
2001-10-25,0.181949418,2.37E-01
2001-10-26,0.63454568,3.4E-01
2001-10-29,-0.40566741,2.37E-01
2001-10-30,0.037680159,2.22E-01
2001-10-31,-0.031424801,2.67E-01
2001-11-01,0.119331756,9.22E-02
2001-11-02,-0.392804339,2.33E-01
2001-11-05,-0.431721092,2.34E-01
2001-11-06,1.473057632,3.5E-01
2001-11-07,-0.551411855,1.38E-01
2001-11-08,0.462544188,2.82E-01
2001-11-09,0.379530709,3.45E-01
2001-11-12,0.482868428,5.17E-01
2001-11-13,-0.377545785,2.9E-01
